Pedigree size range	(50, 100)	(100, 150)	(150, 200)	(200, 300)	(300, 400)	(400, 500)
Similarity of top 50 pedigrees	0.3892131194393207	0.3970450169816479	0.39946379964645023	0.39833715025850347	0.39074712125979333	0.38204845072019955
Similarity of top 50 pedigrees	0.3894521369655192	0.39759556542799673	0.39947183615010695	0.3983685648184334	0.39083068035027607	0.38207227509678865
Similarity of top 50 pedigrees	0.3894682702834906	0.39778290977068076	0.40037721694105344	0.3984098651827649	0.3908700410216669	0.3820743397457684
Similarity of top 50 pedigrees	0.39005191763542657	0.3978014704988524	0.40060102171692635	0.398466521324269	0.3909122755940389	0.3823780594221749
Similarity of top 50 pedigrees	0.3901092667460428	0.3978563715584121	0.4007351265660571	0.39874624535156583	0.39092299953374643	0.3828419190804207
Similarity of top 50 pedigrees	0.39011262569732785	0.3979335408877313	0.4008147802272979	0.39891272908106024	0.39099506575519954	0.3829685028416316
Similarity of top 50 pedigrees	0.39065698667805226	0.3979824612349099	0.40087545444238437	0.39919816049272283	0.3910177136404373	0.383032444381195
Similarity of top 50 pedigrees	0.39084530564782105	0.39805496836253	0.4010392374625909	0.3993675510597089	0.39104895154563235	0.38399022565041174
Similarity of top 50 pedigrees	0.39109835399202253	0.39820308023153184	0.4010716712716038	0.3994400529151679	0.391293155101073	0.3840296738312096
Similarity of top 50 pedigrees	0.39126106359146107	0.3987376191726394	0.40115564751468996	0.399445328335561	0.3915061430711156	0.38405037452141244
Similarity of top 50 pedigrees	0.3914375016910215	0.3987575958177358	0.40117390661841534	0.3998865516712153	0.3918027235824949	0.3843194680607605
Similarity of top 50 pedigrees	0.39167762535197037	0.3992419415236202	0.40136476085329215	0.40006828436127423	0.39250107749415153	0.3843302042816308
Similarity of top 50 pedigrees	0.3917541206229502	0.399467277910366	0.40139760839938426	0.4003273687631239	0.3925161053154816	0.3844695060067427
Similarity of top 50 pedigrees	0.39183301046438773	0.3995555429421445	0.4016167092140115	0.40086865953228923	0.3925659962273361	0.3852554240318128
Similarity of top 50 pedigrees	0.39186296329172743	0.4000721295225169	0.4016448019496671	0.4013990258780085	0.392840588365575	0.3860312081697781
Similarity of top 50 pedigrees	0.39208302077035495	0.40017790692573485	0.4018345379674054	0.40161993986860334	0.3931504073915594	0.38615774740332753
Similarity of top 50 pedigrees	0.3941739024366443	0.4010805158136268	0.4023513858014142	0.40191532743757363	0.3933123890353933	0.3864218909029682
Similarity of top 50 pedigrees	0.39485990978834523	0.4015513227170263	0.4025935955240202	0.40211008470970033	0.3940841869515685	0.3865672552171941
Similarity of top 50 pedigrees	0.3953541993285266	0.40192161200826215	0.40326585944960236	0.40405416465476907	0.3944863177057875	0.38679133781996894
Similarity of top 50 pedigrees	0.39579865634881173	0.4049272182608446	0.4047166981324156	0.4042373241520736	0.39459959024880215	0.38944210523090883
Similarity of top 50 pedigrees	0.39983608411712873	0.40626532918922875	0.4054057319681354	0.40461987615685596	0.3957147212601162	0.3914402409961483
Similarity of top 50 pedigrees	0.4006991130031743	0.4076872691740124	0.4055645738822748	0.40686752709016966	0.396811755136244	0.39147104677110534
